Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1762196721.462	     0.009	0	0	0	0	conjuge -vI abaisser
2	:	1762196721.465	     0.009	0	0	0	0	conjuge -vI abandonner
3	:	1762196721.467	     0.012	0	0	0	0	conjuge -vI abasourdir
4	:	1762196721.469	     0.009	0	0	0	0	conjuge -vI abattre
5	:	1762196721.472	     0.010	0	0	0	0	conjuge -vI 'abêtir'
6	:	1762196721.475	     0.013	0	0	0	0	conjuge -vI abhorrer
7	:	1762196721.479	     0.011	0	0	0	0	conjuge -vI 'abîmer'
8	:	1762196721.482	     0.011	0	0	0	0	conjuge -vI abolir
9	:	1762196721.485	     0.013	0	0	0	0	conjuge -vI abonder
10	:	1762196721.488	     0.009	0	0	0	0	conjuge -vI abonner
11	:	1762196721.491	     0.013	0	0	0	0	conjuge -vI aborder
12	:	1762196721.494	     0.011	0	0	0	0	conjuge -vI aboutir
13	:	1762196721.498	     0.012	0	0	0	0	conjuge -vI aboyer
14	:	1762196721.501	     0.013	0	0	0	0	conjuge -vI 'abréger'
15	:	1762196721.504	     0.013	0	0	0	0	conjuge -vI abreuver
16	:	1762196721.508	     0.012	0	0	0	0	conjuge -vI abriter
17	:	1762196721.510	     0.010	0	0	0	0	conjuge -vI abrutir
19	:	1762196721.517	     0.013	0	0	0	0	conjuge -vI absoudre
21	:	1762196721.523	     0.013	0	0	0	0	conjuge -vI abstraire
22	:	1762196721.527	     0.013	0	0	0	0	conjuge -vI abuser
23	:	1762196721.529	     0.013	0	0	0	0	conjuge -vI accabler
24	:	1762196721.533	     0.010	0	0	0	0	conjuge -vI accaparer
25	:	1762196721.537	     0.013	0	0	0	0	conjuge -vI 'accéder'
26	:	1762196721.540	     0.013	0	0	0	0	conjuge -vI 'accélérer'
27	:	1762196721.543	     0.013	0	0	0	0	conjuge -vI accentuer
28	:	1762196721.547	     0.012	0	0	0	0	conjuge -vI accepter
29	:	1762196721.550	     0.012	0	0	0	0	conjuge -vI accoler
30	:	1762196721.553	     0.013	0	0	0	0	conjuge -vI accommoder
31	:	1762196721.556	     0.009	0	0	0	0	conjuge -vI accompagner
32	:	1762196721.559	     0.013	0	0	0	0	conjuge -vI accomplir
33	:	1762196721.562	     0.013	0	0	0	0	conjuge -vI accorder
34	:	1762196721.565	     0.013	0	0	0	0	conjuge -vI accoucher
35	:	1762196721.569	     0.013	0	0	0	0	conjuge -vI accourir
36	:	1762196721.572	     0.013	0	0	0	0	conjuge -vI accrocher
37	:	1762196721.575	     0.013	0	0	0	0	conjuge -vI accroire
38	:	1762196721.578	     0.013	0	0	0	0	conjuge -vI 'accroître'
40	:	1762196721.585	     0.013	0	0	0	0	conjuge -vI accueillir
41	:	1762196721.589	     0.013	0	0	0	0	conjuge -vI accumuler
42	:	1762196721.592	     0.012	0	0	0	0	conjuge -vI accuser
44	:	1762196721.599	     0.013	0	0	0	0	conjuge -vI acheminer
45	:	1762196721.603	     0.014	0	0	0	0	conjuge -vI acheter
46	:	1762196721.607	     0.012	0	0	0	0	conjuge -vI achever
47	:	1762196721.610	     0.013	0	0	0	0	conjuge -vI 'aciérer'
48	:	1762196721.613	     0.011	0	0	0	0	conjuge -vI aciseler
49	:	1762196721.617	     0.011	0	0	0	0	conjuge -vI 'acquérir'
50	:	1762196721.620	     0.012	0	0	0	0	conjuge -vI acquiescer
51	:	1762196721.623	     0.013	0	0	0	0	conjuge -vI acquitter
52	:	1762196721.626	     0.013	0	0	0	0	conjuge -vI acter
53	:	1762196721.629	     0.013	0	0	0	0	conjuge -vI activer
54	:	1762196721.632	     0.010	0	0	0	0	conjuge -vI actualiser
55	:	1762196721.636	     0.013	0	0	0	0	conjuge -vI adapter
